material,epsilon_mode,pressure_mpa,thickness_nm,epsilon_r_t_zz,e33_c_per_m2,d33_c_per_n,d33_pm_per_v,delta_v_v,delta_v_mv,g_eff_vm_per_n,analytic_order
BiOBr,vasp-total,10.0,5.0,9.962059088627166,0.00069,3.417785708196605e-14,0.03417785708196605,1.9373897177451413e-05,0.019373897177451412,0.00038747794354902825,BiOBr>BiOI>BiOCl
BiOI,vasp-total,10.0,5.0,9.527939579788736,0.00067,2.760155217788116e-14,0.02760155217788116,1.6358963573507305e-05,0.016358963573507305,0.0003271792714701461,BiOBr>BiOI>BiOCl
BiOCl,vasp-total,10.0,10.0,13.119966031710609,0.0005,1.3539894141385024e-14,0.013539894141385024,1.16555783586562e-05,0.0116555783586562,0.000116555783586562,BiOBr>BiOI>BiOCl
BiOBr,vasp-total,10.0,10.0,9.962059088627166,0.00069,3.417785708196605e-14,0.03417785708196605,3.8747794354902826e-05,0.038747794354902824,0.00038747794354902825,BiOBr>BiOI>BiOCl
BiOI,vasp-total,10.0,10.0,9.527939579788736,0.00067,2.760155217788116e-14,0.02760155217788116,3.271792714701461e-05,0.03271792714701461,0.0003271792714701461,BiOBr>BiOI>BiOCl
BiOCl,vasp-total,10.0,20.0,13.119966031710609,0.0005,1.3539894141385024e-14,0.013539894141385024,2.33111567173124e-05,0.0233111567173124,0.000116555783586562,BiOBr>BiOI>BiOCl
BiOBr,vasp-total,10.0,20.0,9.962059088627166,0.00069,3.417785708196605e-14,0.03417785708196605,7.749558870980565e-05,0.07749558870980565,0.00038747794354902825,BiOBr>BiOI>BiOCl
BiOI,vasp-total,10.0,20.0,9.527939579788736,0.00067,2.760155217788116e-14,0.02760155217788116,6.543585429402922e-05,0.06543585429402922,0.0003271792714701461,BiOBr>BiOI>BiOCl
BiOCl,vasp-total,25.0,5.0,13.119966031710609,0.0005,1.3539894141385024e-14,0.013539894141385024,1.4569472948320251e-05,0.01456947294832025,0.00011655578358656201,BiOBr>BiOI>BiOCl
BiOBr,vasp-total,25.0,5.0,9.962059088627166,0.00069,3.417785708196605e-14,0.03417785708196605,4.843474294362854e-05,0.04843474294362854,0.0003874779435490283,BiOBr>BiOI>BiOCl
BiOI,vasp-total,25.0,5.0,9.527939579788736,0.00067,2.760155217788116e-14,0.02760155217788116,4.089740893376826e-05,0.04089740893376826,0.0003271792714701461,BiOBr>BiOI>BiOCl
BiOCl,vasp-total,25.0,10.0,13.119966031710609,0.0005,1.3539894141385024e-14,0.013539894141385024,2.9138945896640502e-05,0.0291389458966405,0.00011655578358656201,BiOBr>BiOI>BiOCl
BiOBr,vasp-total,25.0,10.0,9.962059088627166,0.00069,3.417785708196605e-14,0.03417785708196605,9.686948588725708e-05,0.09686948588725708,0.0003874779435490283,BiOBr>BiOI>BiOCl
BiOI,vasp-total,25.0,10.0,9.527939579788736,0.00067,2.760155217788116e-14,0.02760155217788116,8.179481786753652e-05,0.08179481786753652,0.0003271792714701461,BiOBr>BiOI>BiOCl
BiOCl,vasp-total,25.0,20.0,13.119966031710609,0.0005,1.3539894141385024e-14,0.013539894141385024,5.8277891793281004e-05,0.058277891793281,0.00011655578358656201,BiOBr>BiOI>BiOCl
BiOBr,vasp-total,25.0,20.0,9.962059088627166,0.00069,3.417785708196605e-14,0.03417785708196605,0.00019373897177451415,0.19373897177451416,0.0003874779435490283,BiOBr>BiOI>BiOCl
BiOI,vasp-total,25.0,20.0,9.527939579788736,0.00067,2.760155217788116e-14,0.02760155217788116,0.00016358963573507305,0.16358963573507304,0.0003271792714701461,BiOBr>BiOI>BiOCl
BiOCl,vasp-total,50.0,5.0,13.119966031710609,0.0005,1.3539894141385024e-14,0.013539894141385024,2.9138945896640502e-05,0.0291389458966405,0.00011655578358656201,BiOBr>BiOI>BiOCl
BiOBr,vasp-total,50.0,5.0,9.962059088627166,0.00069,3.417785708196605e-14,0.03417785708196605,9.686948588725708e-05,0.09686948588725708,0.0003874779435490283,BiOBr>BiOI>BiOCl
